COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
113.0 , 4133.33333333 , 4129.74358974 , 4144.61538462 , 4134.35897436 , 4132.30769231 , 4134.87179487 , 4118.46153846 , 4135.8974359 , 4136.41025641 , 4138.97435897 , 4082.56410256 , 3410.76923077 , 4136.41025641 , 4131.28205128 , 2008.0 , 2105.0 , 3.359 , 0.0 , 0.0 , 0.0 , 0.0 , 

114.0 , 4135.8974359 , 4130.76923077 , 4135.38461538 , 4131.79487179 , 4130.25641026 , 4125.64102564 , 4126.15384615 , 4134.35897436 , 4137.43589744 , 4142.05128205 , 4081.53846154 , 3414.35897436 , 4137.43589744 , 4136.92307692 , 2008.0 , 2108.0 , 3.381 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 4136.41025641 , 4133.84615385 , 4133.84615385 , 4130.76923077 , 4131.79487179 , 4128.71794872 , 4137.43589744 , 4136.92307692 , 4138.97435897 , 4142.05128205 , 4083.58974359 , 3407.69230769 , 4136.41025641 , 4135.38461538 , 2009.0 , 2111.0 , 3.381 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 4136.92307692 , 4132.82051282 , 4138.46153846 , 4130.25641026 , 4133.33333333 , 4131.28205128 , 4141.02564103 , 4136.92307692 , 4137.94871795 , 4140.51282051 , 4085.64102564 , 3406.66666667 , 4137.94871795 , 4136.41025641 , 2007.0 , 2113.0 , 3.381 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 4134.35897436 , 4130.76923077 , 4138.97435897 , 4130.76923077 , 4134.35897436 , 4128.71794872 , 4142.56410256 , 4135.38461538 , 4138.46153846 , 4143.07692308 , 4084.1025641 , 3408.20512821 , 4136.92307692 , 4136.41025641 , 2007.0 , 2113.0 , 3.397 , 0.0 , 0.0 , 0.0 , 0.0 , 

